profile_text,Status,ProfileLoop.thisRepN,ProfileLoop.thisTrialN,ProfileLoop.thisN,ProfileLoop.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,ProfileText.started,slider.started,ProfileText.stopped,trial.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"Alex, 40, CEO of successful tech company",High,0,0,0,0,0.04812760000004346,,0.007725700000264624,0.04812760000004346,0.5521244999999908,1.5022135999997772,5.011594399999922,5.502151100000447,5.971867899999779,7.0,5.910246800000095,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Chris, 26, Part-time Cashier at a grocery store",Low,0,1,1,10,5.987522000000354,,5.972253300000375,5.987522000000354,6.501536499999929,7.485022400000162,10.984869799999615,11.484805899999628,12.854883199999676,4.0,6.853418100000454,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Jamie, 29, Regional Manager at a retail store",Medium,0,2,2,5,12.868744100000185,,12.855190799999946,12.868744100000185,13.367873400000462,14.367960499999754,17.867706,18.367633300000307,20.070955400000457,5.0,7.188466999999946,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Aaron, 25, Unemployed but volunteers occassionally",Low,0,3,3,14,20.08560430000034,,20.071243800000047,20.08560430000034,20.600907899999584,21.584036600000218,25.0839133999998,25.583906300000308,25.670970600000146,5.0,5.570926899999904,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Avery, 40, School Teacher in a primary school",Medium,0,4,4,8,25.683872399999927,,25.671251599999778,25.683872399999927,26.18361089999962,27.183768799999598,30.683601400000043,31.183451500000047,32.08700979999958,4.0,6.390191800000139,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Taylor, 45, Founder of a non-profit organization",High,0,5,5,2,32.100164000000404,,32.08730730000025,32.100164000000404,32.600175200000194,33.59998629999973,37.0999496000004,37.5998711000002,38.15305290000015,7.0,6.039499800000158,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Morgan, 38, Managing Director of an investment firm",High,0,6,6,4,38.16763830000036,,38.153323600000476,38.16763830000036,38.682946099999754,39.6663623000004,43.16630390000046,43.66601790000004,43.93638490000012,7.0,5.754774500000167,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Damon, 30, Cleaner at a local office building",Low,0,7,7,12,43.94946140000047,,43.936673000000155,43.94946140000047,44.44934329999978,45.449216400000296,48.94931259999976,49.44913389999965,50.75260350000008,2.0,6.790908500000114,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Jordan, 36, Neurosurgeon at a leading hospital",High,0,8,8,1,50.76566300000013,,50.75291449999986,50.76566300000013,51.26555619999999,52.26573230000031,55.76546479999979,56.26543980000042,57.068806600000244,7.0,6.289912299999742,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Sam, 22, Delivery driver for a food service",Low,0,9,9,11,57.08189810000022,,57.06911180000043,57.08189810000022,57.581676400000106,58.58182450000004,62.08172000000013,62.58154800000011,63.60163939999984,3.0,6.507009300000391,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Casey, 35, Accountant at a small financial firm",Medium,0,10,10,6,63.614854399999786,,63.601955400000406,63.614854399999786,64.1147764999996,65.11497299999974,68.61474679999992,69.11476719999973,70.0012958999996,5.0,6.375503999999637,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Robin, 32, Sales Supervisor in a local electronics store",Medium,0,11,11,7,70.01449409999987,,70.00157229999968,70.01449409999987,70.51440079999975,71.51435750000019,75.01416810000046,75.51410149999992,75.61750579999989,5.0,5.591314999999668,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Noah, 35, Janitor at a high school",Low,0,12,12,13,75.63078010000027,,75.61777979999988,75.63078010000027,76.13077720000001,77.13081880000027,80.6306340000001,81.13063739999961,81.9338429999998,2.0,6.2916596999994,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Quinn, 28, Assisstant Manager at a coffee chain",Medium,0,13,13,9,81.9469968000003,,81.93415679999998,81.9469968000003,82.44684859999961,83.44696300000032,86.94683400000031,87.44673189999958,88.63354619999973,5.0,6.673279700000421,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
"Riley, 50, Professor of Astrophysics at a top university",High,0,14,14,3,88.6466548999997,,88.63385339999968,88.6466548999997,89.14672710000013,90.14642679999997,93.64625960000012,94.14650189999975,95.06629710000016,6.0,6.406884099999843,04,001,2024-11-28_19h26.43.912,solo,2024.1.5,None,2024-11-28 19h26.51.978290 +0530,
