profile_text,Status,ProfileLoop.thisRepN,ProfileLoop.thisTrialN,ProfileLoop.thisN,ProfileLoop.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,ProfileText.started,slider.started,ProfileText.stopped,trial.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"Riley, 50, Professor of Astrophysics at a top university",High,0,0,0,3,0.049873800000568735,,0.007668100000046252,0.049873800000568735,0.5545768000001772,1.504606700000295,5.01474270000017,5.504425799999808,5.924248700000135,7.0,5.860992799999622,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Sam, 22, Delivery driver for a food service",Low,0,1,1,11,5.938922899999852,,5.924627800000053,5.938922899999852,6.454208500000277,7.437742099999923,10.937503400000423,11.43735209999977,13.623929800000042,2.0,7.67179699999997,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Taylor, 45, Founder of a non-profit organization",High,0,2,2,2,13.638819499999954,,13.624228499999845,13.638819499999954,14.153756300000168,15.137158399999862,18.63674110000011,19.137051300000167,19.556602600000588,7.0,5.904657000000043,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Aaron, 25, Unemployed but volunteers occassionally",Low,0,3,3,14,19.570119400000294,,19.55687820000003,19.570119400000294,20.070069600000352,21.070222899999862,24.57004020000022,25.069918199999847,26.52302729999974,3.0,6.940417800000432,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Avery, 40, School Teacher in a primary school",Medium,0,4,4,8,26.536138800000117,,26.52331250000043,26.536138800000117,27.036012000000483,28.036122200000136,31.5359840000001,32.036062899999706,32.25585039999987,4.0,5.708149899999626,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Casey, 35, Accountant at a small financial firm",Medium,0,5,5,6,32.26925889999984,,32.25614289999976,32.26925889999984,32.76925780000056,33.76907529999971,37.26895500000046,37.768824400000085,38.455712900000435,6.0,6.173014399999374,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Alex, 40, CEO of successful tech company",High,0,6,6,0,38.468806300000324,,38.45603459999984,38.468806300000324,38.96862400000009,39.968632799999796,43.46853420000025,43.9686556000006,44.88848849999977,7.0,6.4058953000003385,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Jamie, 29, Regional Manager at a retail store",Medium,0,7,7,5,44.901688200000535,,44.88878730000033,44.901688200000535,45.40167660000043,46.40167079999992,49.90168640000047,50.40157350000027,52.80457170000045,5.0,7.8891107999997985,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Morgan, 38, Managing Director of an investment firm",High,0,8,8,4,52.818293500000436,,52.80486370000017,52.818293500000436,53.31768040000043,54.31778630000008,57.81760889999987,58.31756130000031,58.73740100000032,7.0,5.905351500000506,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Damon, 30, Cleaner at a local office building",Low,0,9,9,12,58.75074570000015,,58.737679599999865,58.75074570000015,59.25068540000029,60.25084719999995,63.75072030000047,64.25071790000038,64.60408580000058,1.0,5.841603799999575,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Robin, 32, Sales Supervisor in a local electronics store",Medium,0,10,10,7,64.61735070000032,,64.60439910000059,64.61735070000032,65.1171247000002,66.11711860000014,69.61689079999996,70.11672009999984,70.8036990999999,3.0,6.174272700000074,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Jordan, 36, Neurosurgeon at a leading hospital",High,0,11,11,1,70.8168083999999,,70.80401080000047,70.8168083999999,71.31669620000048,72.31688639999993,75.81670630000008,76.31659190000028,78.55309970000053,7.0,7.722316500000488,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Quinn, 28, Assisstant Manager at a coffee chain",Medium,0,12,12,9,78.56622380000044,,78.55340679999972,78.56622380000044,79.06615650000003,80.0663211000001,83.56636290000006,84.06636799999978,84.55291269999998,5.0,5.974278700000468,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Chris, 26, Part-time Cashier at a grocery store",Low,0,13,13,10,84.56611539999994,,84.55320490000031,84.56611539999994,85.06590880000022,86.06607230000009,89.56586229999994,90.06582400000025,91.41896150000048,2.0,6.841432799999893,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
"Noah, 35, Janitor at a high school",Low,0,14,14,13,91.4323116000005,,91.41926200000034,91.4323116000005,91.93231370000012,92.9325472999999,96.43227000000024,96.9322600000005,97.46877640000002,1.0,6.025206199999957,01,001,2024-11-28_18h54.37.474,solo,2024.1.5,None,2024-11-28 18h54.45.595169 +0530,
