profile_text,Status,ProfileLoop.thisRepN,ProfileLoop.thisTrialN,ProfileLoop.thisN,ProfileLoop.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,ProfileText.started,slider.started,ProfileText.stopped,trial.stopped,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"Jordan, 36, Neurosurgeon at a leading hospital",High,0,0,0,1,0.04604899999958434,,0.007669300000088697,0.04604899999958434,0.5522095999995145,1.502136099999916,5.014538600000378,5.5017650999998295,5.821868899999572,7.0,5.762092300000404,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Aaron, 25, Unemployed but volunteers occassionally",Low,0,1,1,14,5.838766799999576,,5.82226350000019,5.838766799999576,6.351493500000288,7.335073700000066,10.83481860000029,11.334838099999615,11.871740700000373,4.0,6.018767200000184,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Noah, 35, Janitor at a high school",Low,0,2,2,13,11.884746200000336,,11.87202619999971,11.884746200000336,12.384739899999659,13.384616000000278,16.884350000000268,17.384331299999758,19.504281499999706,1.0,7.608055400000012,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Quinn, 28, Assisstant Manager at a coffee chain",Medium,0,3,3,9,19.518011600000136,,19.504559799999697,19.518011600000136,20.017451200000323,21.01730740000039,24.517466799999966,25.017215199999555,25.870646600000327,6.0,6.338605100000677,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Robin, 32, Sales Supervisor in a local electronics store",Medium,0,4,4,7,25.88372739999977,,25.870949699999983,25.88372739999977,26.38551019999977,27.383786299999883,30.883737199999814,31.38352810000015,31.9369557,4.0,6.039358099999845,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Damon, 30, Cleaner at a local office building",Low,0,5,5,12,31.950637099999767,,31.937261000000035,31.950637099999767,32.45013370000015,33.44989650000025,36.94979599999988,37.449831599999925,38.019804399999884,1.0,6.055601999999453,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Riley, 50, Professor of Astrophysics at a top university",High,0,6,6,3,38.03328549999969,,38.020100300000195,38.03328549999969,38.53278429999955,39.53293539999959,43.03276629999982,43.53276300000016,44.40286190000006,7.0,6.355471300000318,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Morgan, 38, Managing Director of an investment firm",High,0,7,7,4,44.4161124000002,,44.40316819999953,44.4161124000002,44.9158838000003,45.91585870000017,49.41568040000038,49.915595100000246,50.41910170000028,7.0,5.990838499999882,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Avery, 40, School Teacher in a primary school",Medium,0,8,8,8,50.43225470000016,,50.419394999999895,50.43225470000016,50.93220769999971,51.93218999999954,55.43195610000021,55.93204220000007,60.65170769999986,5.0,10.205500899999606,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Sam, 22, Delivery driver for a food service",Low,0,9,9,11,60.6649496,,60.65199750000011,60.6649496,61.164801400000215,62.16485170000033,65.66468910000003,66.16483340000013,68.10111219999999,2.0,7.424329799999214,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Chris, 26, Part-time Cashier at a grocery store",Low,0,10,10,10,68.11433789999955,,68.1013855000001,68.11433789999955,68.61434139999983,69.61438949999956,73.11428569999953,73.61424249999982,74.53410460000032,3.0,6.407099799999742,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Alex, 40, CEO of successful tech company",High,0,11,11,0,74.5473493999998,,74.53438709999955,74.5473493999998,75.04738519999955,76.04731439999978,79.54733310000029,80.04710629999954,80.58391479999955,7.0,6.022578799999792,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Casey, 35, Accountant at a small financial firm",Medium,0,12,12,6,80.59722150000016,,80.58422129999963,80.59722150000016,81.09693849999985,82.09707489999982,85.59701680000035,86.09680339999977,89.03336990000025,5.0,8.424083599999904,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Taylor, 45, Founder of a non-profit organization",High,0,13,13,2,89.04675820000011,,89.03366689999984,89.04675820000011,89.54636519999985,90.54645520000031,94.0462735000001,94.54618049999954,95.29979490000005,7.0,6.239098699999886,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
"Jamie, 29, Regional Manager at a retail store",Medium,0,14,14,5,95.31278589999965,,95.3000834000004,95.31278589999965,95.81283530000019,96.8126070999997,100.31253709999964,100.81241729999965,101.63244190000023,3.0,6.307176700000127,05,001,2024-11-28_19h29.13.540,solo,2024.1.5,None,2024-11-28 19h29.21.785494 +0530,
